,name,model,maker,prefix,postfix,kind,num_model,model_names,maker_new
33,쉐보레/한국GM 마티즈,마티즈,쉐보레/한국GM,0,0,Sedan,1,마티즈,쉐보레/한국GM
34,기아 이노베이션 로체 MG,로체,기아,이노베이션,MG,Sedan,1,로체,기아
35,르노삼성 르노 마스터 버스,마스터,르노,0,버스,van,1,마스터,르노삼성
36,혼다 오딧세이,오딧세이,혼다,0,0,van,1,오딧세이,혼다
37,소형버스 LESTAR,ES,렉서스,0,0,Sedan,1,레스타,자일
38,르노삼성 트위지,트위지,르노삼성,0,0,Coupe,1,트위지,르노삼성
39,뉴체어맨,체어맨,쌍용,뉴,0,Sedan,1,체어맨,쌍용
40,벤츠 AMG GT,0,0,0,0,,1,AMG GT,벤츠
41,베르나,베르나,현대,0,0,Sedan,1,베르나,현대
42,볼보 XC60 2019년형,XC60,볼보,0,0,Mid-Large suv,1,XC60,볼보
43,비이스만 로드스터,로드스터,비이스만,0,0,Coupe,1,로드스터,비이스만
44,현대 PHEV 아이오닉 AE,아이오닉,현대,PHEV,AE,Sedan,1,아이오닉,현대
45,BMW 4 시리즈,4 시리즈,BMW,0,0,Sedan,1,4 시리즈,BMW
46,포드 토러스,토러스,포드,0,0,Sedan,1,토러스,포드
47,쉐보레/대우 라세티,라세티,쉐보레/한국GM,0,0,Sedan,1,라세티,쉐보레/한국GM
48,닛산 큐브,큐브,닛산,0,0,Sedan,1,큐브,닛산
49,쌍용 체어맨,체어맨,쌍용,0,0,Sedan,1,체어맨,쌍용
50,HR-V,HR-V,혼다,0,0,Sedan,1,HR-V,혼다
51,베리타스VERITAS,베리타스,쉐보레/한국GM,0,0,Sedan,1,베리타스,쉐보레/한국GM
52,BMW 3 시리즈 F30/31/34,3 시리즈,BMW,0,F30/31/34,Sedan,1,3 시리즈,BMW
53,현대 테라칸 HP,테라칸,현대,0,HP,Mid-Large suv,1,테라칸,현대
54,윈스톰맥스,윈스톰,쉐보레/한국GM,맥스,0,Mid-Large suv,1,윈스톰,쉐보레/한국GM
55,볼보 V60 2019년형,V60,볼보,0,0,Mid-Large suv,1,V60,볼보
56,기아 오피러스 GH,오피러스,기아,0,GH,Sedan,1,오피러스,기아
57,르노삼성 올뉴 SM7 L47,SM7,르노삼성,올뉴,L47,Sedan,1,SM7,르노삼성
58,기아 카니발 2 KV-II,카니발,기아,2,KV-II,van,1,카니발,기아
59,재규어 XE,XE,재규어,0,0,Sedan,1,XE,재규어
60,컨티넨탈,컨티넨탈,링컨,0,0,Sedan,1,컨티넨탈,링컨
61,S90,S90,볼보,0,0,Sedan,1,S90,볼보
62,쌍용 액티언,액티언,쌍용,0,0,Mid-Large suv,1,액티언,쌍용
63,ATS,ATS,캐딜락,0,0,Sedan,1,ATS,캐딜락
64,Golf GTD,0,0,0,0,,1,골프,폭스바겐
65,액티언,액티언,쌍용,0,0,Mid-Large suv,1,액티언,쌍용
66,푸조 308MCP,308,푸조,0,0,Coupe,1,308,푸조
67,지프랭글러,랭글러,지프,0,0,Mid-Large suv,1,랭글러,지프
68,뉴 카니발,카니발,기아,뉴,0,van,1,카니발,기아
69,렉서스 UX,UX,렉서스,0,0,Sedan,1,UX,렉서스
70,아우디 A4 B9,A4,아우디,0,B9,Sedan,1,A4,아우디
71,포르쉐 카이엔 9Y0,카이엔,포르쉐,0,9Y0,Mid-Large suv,1,카이엔,포르쉐
72,BMW X6 G06,X6,BMW,0,G06,Mid-Large suv,1,X6,BMW
73,캐딜락 XT6 2021년형,XT6,캐딜락,0,0,Mid-Large suv,1,XT6,캐딜락
74,BMW M4,M4,BMW,0,0,Sedan,1,M4,BMW
75,재규어 XJ 2014년형,XJ,재규어,0,0,Sedan,1,XJ,재규어
76,인피니티 G 시리즈,G 시리즈,인피니티,0,0,Sedan,1,G 시리즈,인피니티
77,포드 F-시리즈,F-시리즈,포드,0,0,Mid-Large suv,1,F-시리즈,포드
78,재규어 XF,XF,재규어,0,0,Sedan,1,XF,재규어
79,포르쉐 마칸 2021년형,마칸,포르쉐,0,0,Mid-Large suv,1,마칸,포르쉐
80,닛산 올 뉴 알티마 L34,알티마,닛산,올 뉴,L34,Sedan,1,알티마,닛산
81,아우디 Q7 2020년형,Q7,아우디,0,0,Mid-Large suv,1,Q7,아우디
82,랜드로버 디스커버리 2018년형,디스커버리,랜드로버,0,0,Mid-Large suv,1,디스커버리,랜드로버
83,폭스바겐 아테온 2021년형,아테온,폭스바겐,0,0,Sedan,1,아테온,폭스바겐
84,BMW M6,M6,BMW,0,0,Sedan,1,M6,BMW
85,지프 체로키 2020년형,체로키,지프,0,0,Mid-Large suv,1,체로키,지프
86,쉐보레 콜로라도 2020년형,콜로라도,홀덴,0,0,Mid-Large suv,1,콜로라도,쉐보레
87,크라이슬러 300C 2013년형,300C,크라이슬러,0,0,Sedan,1,300C,크라이슬러
88,링컨 노틸러스 2021년형,노틸러스,링컨,0,0,Mid-Large suv,1,노틸러스,링컨
89,맥라렌 GT,0,0,0,0,,1,GT,맥라렌
90,렉서스 LS 2011년형,0,0,0,0,,1,LS,렉서스
91,벤츠 마이바흐 XL222,마이바흐,벤츠,0,XL222,Sedan,1,마이바흐,벤츠
92,토요타 도요타86,도요타86,토요타,0,0,Coupe,1,도요타86,토요타
93,지프 체로키 2019년형,체로키,지프,0,0,Mid-Large suv,1,체로키,지프
94,포르쉐 911 2016년형,911,포르쉐,0,0,Coupe,1,911,포르쉐
95,폭스바겐 골프 2012년형,골프,폭스바겐,0,0,Sedan,1,골프,폭스바겐
96,기아 더뉴 K9 KH,K9,기아,더뉴,KH,Sedan,1,K9,기아
97,재규어 XF 2019년형,XF,재규어,0,0,Sedan,1,XF,재규어
98,벤츠 G-클래스 W463: G63 AMG 6x6,G-클래스,벤츠,0,W463: G63 AMG 6x6,Mid-Large suv,1,G-클래스,벤츠
99,렉서스 ES 2018년형,ES,렉서스,0,0,Sedan,1,ES,렉서스
100,랜드로버 레인지로버 2010년형,레인지로버,랜드로버,0,0,Mid-Large suv,1,레인지로버,랜드로버
101,BMW 1 시리즈 F20,1 시리즈,BMW,0,F20,Sedan,1,1 시리즈,BMW
102,인피니티 QX 2019년형,QX,인피니티,0,0,Mid-Large suv,1,QX,인피니티
103,링컨 MKZ 2020년형,MKZ,링컨,0,0,Sedan,1,MKZ,링컨
104,재규어 F페이스 2018년형,F페이스,재규어,0,0,Mid-Large suv,1,F페이스,재규어
105,포르쉐 박스터,박스터,포르쉐,0,0,Coupe,1,박스터,포르쉐
106,렉서스 CT,CT,렉서스,0,0,Sedan,1,CT,렉서스
107,SCANIA,SC,렉서스,0,0,Coupe,1,,스카니아
108,렉서스 ES 2014년형,ES,렉서스,0,0,Sedan,1,ES,렉서스
109,링컨 코세어 2021년형,코세어,링컨,0,0,Mid-Large suv,1,코세어,링컨
110,폭스바겐 투아렉 2014년형,투아렉,폭스바겐,0,0,Mid-Large suv,1,투아렉,폭스바겐
111,폭스바겐 폴로 2013년형,폴로,폭스바겐,0,0,Sedan,1,폴로,폭스바겐
112,혼다 레전드,레전드,혼다,0,0,Sedan,1,레전드,혼다
113,포르쉐 카이엔 2020년형,카이엔,포르쉐,0,0,Mid-Large suv,1,카이엔,포르쉐
114,링컨 MKX 2016년형,MKX,링컨,0,0,Mid-Large suv,1,MKX,링컨
115,르노삼성 세부 분류,0,0,0,0,,1,,르노삼성
116,토요타 캠리 2018년형,캠리,토요타,0,0,Sedan,1,캠리,토요타
117,현대 7세대(출시예정) 아반떼 CN7,아반떼,현대,0,CN7,Sedan,1,아반떼,현대
118,닛산 리프,리프,닛산,0,0,Sedan,1,리프,닛산
119,포르쉐 카이엔 2014년형,카이엔,포르쉐,0,0,Mid-Large suv,1,카이엔,포르쉐
120,아우디 Q7 2014년형,Q7,아우디,0,0,Mid-Large suv,1,Q7,아우디
121,페라리 포르토피노,포르토피노,페라리,0,0,Coupe,1,포르토피노,페라리
122,토요타 아발론 2021년형,아발론,토요타,0,0,Sedan,1,아발론,토요타
123,폭스바겐 아테온 2019년형,아테온,폭스바겐,0,0,Sedan,1,아테온,폭스바겐
124,비이스만 로드스터 2019년형,로드스터,비이스만,0,0,Coupe,1,로드스터,비이스만
125,렉서스 RX 2017년형,0,0,0,0,,1,RX,렉서스
126,폭스바겐 CC 2011년형,CC,폭스바겐,0,0,Sedan,1,CC,폭스바겐
127,렉서스 IS 2016년형,IS,렉서스,0,0,Sedan,1,IS,렉서스
128,다이하쓰 마테리아 2019년형,마테리아,다이하쓰,0,0,Sedan,1,마테리아,다이하쓰
129,기아 프라이드 Y,프라이드,기아,0,Y,Sedan,1,프라이드,기아
130,링컨 MKS,MKS,링컨,0,0,Sedan,1,MKS,링컨
131,렉서스 RC,RC,렉서스,0,0,Coupe,1,RC,렉서스
132,아우디 S4,S4,아우디,0,0,Sedan,1,S4,아우디
133,람보르기니 가야드로 2020년형,가야드로,람보르기니,0,0,Coupe,1,가야드로,람보르기니
134,벤츠 A-클래스 W177/V177,A-클래스,벤츠,0,0,Sedan,1,A-클래스,벤츠
135,랜드로버 레인지로버 2016년형,레인지로버,랜드로버,0,0,Mid-Large suv,1,레인지로버,랜드로버
136,벤츠 GLK-클래스 2013년형,GLK-클래스,벤츠,0,0,Mid-Large suv,1,GLK-클래스,벤츠
137,포르쉐 카이엔 2016년형,카이엔,포르쉐,0,0,Mid-Large suv,1,카이엔,포르쉐
138,렉서스 NX 2018년형,NX,렉서스,0,0,Mid-Large suv,1,NX,렉서스
