,store,new_store,works,region
197,a5743e03116c9e406bd906f7f6703bbb,경기도_311,310,경기도
198,5fb276bf1f854b8f75b997342d2ad776,전라북도_25,989,전라북도
199,ad6c0c9b558cc0a38e2c0e3565bb2108,전라북도_4,203,전라북도
200,e709f96858aefcb57106e23e5923de58,전라북도_14,1703,전라북도
201,a876afd6e9012c373dc96d2c1eb99f90,전라북도_2,1165,전라북도
202,f50fc6cca5b66a313f80886dbc5873c9,전라북도_21,212,전라북도
203,2707b9658b64883b683cbdb77a40467a,전라북도_12,747,전라북도
204,09aa9d7bc2a58a83a7319fe968a768dd,전라북도_1,36,전라북도
205,fbc7b823f1190680ec4a2d0dae61fa81,전라북도_29,35,전라북도
206,612aa1864941e6bee2f35e8e64b45b1f,전라북도_32,1,전라북도
207,5cfd3c7763b938461858ab8b0697befb,전라북도_36,1,전라북도
208,ae114a179979a7558e14d97e405e0e64,경상북도_52,43,경상북도
209,0f7c8af3dc084d41764a90c8bcc261f3,경상북도_59,6,경상북도
210,bb47f70fbfc946fa7d04b204247020e7,경상북도_7,2199,경상북도
211,63e30d2c68188fc4649ceedbd9d9317b,경상북도_5,1163,경상북도
212,1f5ce8055dcaa33bc57b2e548de5c1c6,경상북도_12,599,경상북도
213,1cda92a1692300a7018107298e2f6103,경상북도_38,262,경상북도
214,524c291ddd9efd56509d752587674421,경상북도_63,101,경상북도
215,d36e4bc59349f8f3bc3c55ba7080e019,경상북도_8,758,경상북도
216,92ad3d533eedc9b217f92bb7b2570103,경상북도_34,25,경상북도
217,88d5b6eaab24c8ea55ddc0b38f8186c1,경상북도_28,8,경상북도
218,f00081e0b74d469035b63d9ee506605f,경상북도_46,1,경상북도
219,7e595998afe5a1ce2502c9f0e9f3c5f0,경기도_137,1438,경기도
220,666bdddbf20b64acc110ff8f245ee467,전라남도_35,243,전라남도
221,910cb87be196b2640d6fc44fe71edf76,서울특별시_6,1991,서울특별시
222,80b55292449262a62b19ae6a2f61fcfe,서울특별시_107,105,서울특별시
223,82a3ae025ed7e54e522ca04e3b988ec3,경상남도_36,1503,경상남도
224,b0cc949dc7a1840d062b699b2d75ecef,경상남도_71,29,경상남도
225,317b59cfa206a293cc1612e235f911ca,서울특별시_118,1554,서울특별시
226,0fd404f73f94f1716e0a3eab9e8f8435,서울특별시_67,567,서울특별시
227,4f0a5e87489b000dad4454abc72a1dcf,대전광역시_17,596,대전광역시
228,794cf9e2dd05d130187c1ea565dddb49,전라북도_23,243,전라북도
229,ba08ae5ad2295a14f61adc9ff060404e,전라북도_31,45,전라북도
230,fbcedb823b1f85b5e6a504dcc801210d,전라북도_16,945,전라북도
231,86ba848d6b8305ae8e0ddddea90d8453,부산광역시_57,1799,부산광역시
232,18b3aec7e65165d5ddf8dab237bb2511,경상북도_32,282,경상북도
233,bb6a02da9253f463cbbdecf49352246a,대전광역시_0,51,대전광역시
234,e0861781db82925d94e82ea67687b03e,대전광역시_2,44,대전광역시
235,74ebb855999f4a4acf6f4138353e8789,서울특별시_14,230,서울특별시
236,96d16a264c941a5959dfd984e779d39c,경기도_15,193,경기도
237,ce10c22006e4b081b5a011593a61f335,경기도_24,418,경기도
238,61e4fe0e48993a4b8f6188105ffe81bc,경기도_93,38,경기도
239,c20707742634a0bd4cbee202d84c191f,경기도_62,7,경기도
240,211f660c260b10a14aef30cba01e3a77,인천광역시_23,1,인천광역시
241,5e08b340d3f91766d51d6da6646b4973,인천광역시_35,10,인천광역시
242,6f3c4cb972f7703d61f43ab6f08560b2,경기도_7,82,경기도
243,198aa246cb892401f8975af2dd8b4550,경기도_28,1191,경기도
244,739fbcda6585d56b27443a67ff05f8c6,경기도_320,154,경기도
245,6b428dbead6692a9ff00c5bf5f733c2d,경기도_175,1020,경기도
246,423c2d44139bd861627ee30eb86129ee,충청북도_0,551,충청북도
247,ef5ff888f824dc83768310fb1da4b11c,경기도_25,36,경기도
248,871fe8c038a14e349318ea71d2375c14,nan_0,69,nan
249,f87010f9e1357101908204837a9f05fd,경상남도_0,180,경상남도
250,031f6479e496957d9c48f1c563c66f7c,경상남도_21,599,경상남도
251,9fb77ddff7d00f98645bade4af4b4b7f,경상남도_56,88,경상남도
252,76c44300035fca985096e5678b526da2,경상남도_33,46,경상남도
253,7c94cbce179a610a607957a8219afe03,경상남도_3,22,경상남도
254,e464ad588b4803dac40621fbd6232653,경상남도_90,37,경상남도
255,4aa292c8403522dc0892ebe99b5c7a24,경상남도_100,6,경상남도
256,fdf03abd6b6550637798e7ec9cb527fe,경상남도_1,134,경상남도
257,4d9eb479cb4f5b69f7b04fab32e14a65,경상남도_30,20,경상남도
258,639c7e5f0c7c9d5ec85edbd2f55efc26,경상남도_60,10,경상남도
259,c6516eccf643977b1abde5d5ca69f6f7,부산광역시_1,35,부산광역시
260,40353c5ac69477e1beb8b51f5511d4f9,부산광역시_8,11,부산광역시
261,e2fe01c90d0ed5b4c81f8515fc6e4f82,인천광역시_19,447,인천광역시
262,29ec716912dd38fe7e7a6ae6eba6ee96,경기도_79,4,경기도
263,7581826651df5eed394b8a2c9a0d6107,경기도_84,74,경기도
264,b317eaad05ea2292a2aef8343b0ea559,경기도_26,44,경기도
265,7901984061329780d87c9cca2e548201,경기도_205,1,경기도
266,9fca17ae807fe63a9f6fd3152fbcd5ed,서울특별시_47,390,서울특별시
267,550a292b4f6fb7842dca5bc1e2586c47,서울특별시_37,5,서울특별시
268,7bcd73fa6015b76b05b49bb48b04c902,부산광역시_9,108,부산광역시
269,cf1c4cbee24e4d34834f040ecba0ffd5,전라남도_7,11,전라남도
270,b265472b46c1616f7b61f081b2eaf360,경기도_89,103,경기도
271,3f3417df33a07106d971bd8104287de8,경기도_191,4,경기도
272,29635a1a57fabfff76c277f887e4616f,경기도_198,6,경기도
273,1c8f9a1aafa4ee921f8847ab0dee3e41,인천광역시_5,194,인천광역시
274,b8e445735195092f3ac682d85150aae0,대전광역시_3,88,대전광역시
275,49394b435c348b68497679bd1f1a1125,경기도_60,18,경기도
276,e00d1ac4d81cd38dfc72eab01f4468cf,서울특별시_25,212,서울특별시
277,f07cb096345d3f26ee74a8ef8e7c5cbe,부산광역시_6,45,부산광역시
278,d9a52c09f048b58f9dbaf453ae74a079,서울특별시_76,24,서울특별시
279,db7319a7c40b160b19776fe5fb16becb,경기도_135,94,경기도
280,f9d98c60aa74e7ee03d5543465fbdace,인천광역시_49,1379,인천광역시
