,name,model,maker,prefix,postfix,kind
223,GLA,GLA-클래스,벤츠,0,0,['Small suv']
224,현대 싼타페 CM,싼타페,현대,0,CM,['Mid-Large suv']
225,현대 코나 OS,코나,현대,0,OS,['Small suv']
226,포터2 일렉트릭,0,0,0,0,
227,아이오닉,아이오닉,현대,0,0,['Sedan']
228,기아 올뉴 쏘렌토 UM,쏘렌토,기아,올뉴,UM,['Mid-Large suv']
229,쌍용 칸 렉스턴 스포츠 Q200,렉스턴 스포츠,쌍용,0,0,['Mid-Large suv']
230,Q70,Q7,아우디,0,0,Mid-Large suv
231,QM3,QM3,르노삼성,0,0,['Small suv']
232,XC40,XC40,볼보,0,0,Mid-Large suv
233,아우디 A6,A6,아우디,0,0,['Sedan']
234,SM6탈리스만,SM6,르노삼성,0,0,['Sedan']
235,기아 2열 봉고,2열 봉고,기아,0,0,['Two row truck']
236,현대 아반떼 MD,아반떼,현대,0,MD,"['Sedan', 'Coupe']"
237,S클래스,S-클래스,벤츠,0,0,"['Sedan', 'Coupe']"
238,CC,CC,폭스바겐,0,0,Sedan
239,블레이저,블레이저,쉐보레,0,0,Mid-Large suv
240,쏘렌토R,쏘렌토,기아,R,0,['Mid-Large suv']
241,스포티지,스포티지,기아,0,0,['Mid-Large suv']
242,기아 모하비 HM,모하비,기아,0,HM,['Mid-Large suv']
243,K7 하이브리드,K7,기아,하이브리드,0,Sedan
244,콜로라도,콜로라도,홀덴,0,0,Mid-Large suv
245,베라크루즈,베라크루즈,현대,0,0,['Mid-Large suv']
246,현대 그랜저 TG,그랜저,현대,0,TG,['Sedan']
247,기아 K3,K3,기아,0,0,['Sedan']
248,현대 2열 포터,2열 포터,현대,0,0,['Two row truck']
249,벤츠 S-클래스,S-클래스,벤츠,0,0,"['Sedan', 'Coupe']"
250,볼트EV,볼트,쉐보레/한국GM,0,EV,['Sedan']
251,GOLF,0,0,0,0,
252,A7,A7,아우디,0,0,Sedan
253,서버번,서버번,쉐보레,0,0,Mid-Large suv
254,기아 올뉴 카니발 YP,카니발,기아,올뉴,YP,['van']
255,GLK,0,0,0,0,
256,현대 쏘나타,쏘나타,현대,0,0,['Sedan']
257,르노삼성 QM3,QM3,르노삼성,0,0,['Small suv']
258,기아 4세대 HEV 쏘렌토 MQ4,쏘렌토,기아,4세대 HEV,MQ4,['Mid-Large suv']
259,토요타 RAV4,RAV4,토요타,0,0,['Mid-Large suv']
260,볼보 XC40,XC40,볼보,0,0,['Mid-Large suv']
261,뉴스포티지,스포티지,기아,뉴,0,['Mid-Large suv']
262,현대 아슬란 AG,아슬란,현대,0,AG,Sedan
263,스토닉,스토닉,기아,0,0,['Small suv']
264,sm5노바,0,0,0,0,
265,쌍용 렉스턴 스포츠,렉스턴 스포츠,쌍용,0,0,['Mid-Large suv']
266,폭스바겐 티구안 2021년형,티구안,폭스바겐,0,0,Mid-Large suv
