,name,model,maker,prefix,postfix
321,익스플로러,익스플로러,포드,0,0
322,Z4,Z4,BMW,0,0
323,현대 더럭셔리 그랜저 TG,그랜저,현대,더럭셔리,TG
324,MKZ,MKZ,링컨,0,0
325,쌍용 렉스턴,렉스턴,쌍용,0,0
326,X1,X1,BMW,0,0
327,기아 모닝,모닝,기아,0,0
328,캠리,캠리,토요타,0,0
329,라세티,라세티,쉐보레/한국GM,0,0
330,아발론,아발론,토요타,0,0
331,현대 더뉴 투싼 TL,TL,아큐라,0,0
332,토요타 캠리,캠리,토요타,0,0
333,폭스바겐 CC,CC,폭스바겐,0,0
334,르노삼성 뉴신형 SM5 L43,SM5,르노삼성,0,0
335,제네시스 G330,제네시스,현대,0,0
336,현대 아반떼 HD,아반떼,현대,0,HD
337,E-마이티 2,0,0,0,0
338,뉴그랜져,0,0,0,0
339,쌍용 뉴스타일C 코란도 C200,코란도,쌍용,0,0
340,SM3,SM3,르노삼성,0,0
341,싼타페TM,싼타페,현대,0,TM
342,렉서스 ES 2016년형,ES,렉서스,0,0
343,로체,로체,기아,0,0
344,300C,300C,크라이슬러,0,0
345,토요타 캠리 2020년형,캠리,토요타,0,0
346,320d,0,0,0,0
347,티구안,티구안,폭스바겐,0,0
348,기아 부스터 쏘울 SK3,K3,기아,부스터,SK3
349,그랜저IG,그랜저,현대,0,IG
350,모델 S,모델 S,테슬라,0,0
351,컨트리맨,컨트리맨,미니,0,0
352,아반떼ad,아반떼,현대,0,0
353,K7하이브리드,K7,기아,하이브리드,0
354,벤츠 GLS-클래스,GLS-클래스,벤츠,0,0
355,올뉴투싼TL,TL,아큐라,0,0
356,기아 더뉴 카니발 YP,카니발,기아,더뉴,YP
357,싼타페DM,싼타페,현대,0,DM
358,아우디 A4,A4,아우디,0,0
359,YF소나타,0,0,0,0
360,그랜저HG,그랜저,현대,0,HG
361,쌍용 코란도 스포츠,코란도 스포츠,쌍용,0,0
362,쌍용 코란도,코란도,쌍용,0,0
363,더뉴K5,K5,기아,0,0
364,기아 뉴 모닝 SA,모닝,기아,뉴,SA
365,싼타페CM,싼타페,현대,0,CM
366,르노삼성 XM3,XM3,르노삼성,0,0
367,아우디 Q8,Q8,아우디,0,0
368,A클래스,0,0,0,0
369,그랜저IG하이브리드,그랜저,현대,0,IG
370,XT5,XT5,캐딜락,0,0
371,기블리,기블리,마세라티,0,0
372,A4,A4,아우디,0,0
373,뉴 액센트,0,0,0,0
374,투싼IX,투싼,현대,0,0
375,8시리즈,0,0,0,0
376,쌍용 티볼리 X100,티볼리,쌍용,0,X100
377,라세티프리미어,라세티,쉐보레/한국GM,프리미어,0
378,GLC,LC,렉서스,0,0
379,아반떼HD,아반떼,현대,0,HD
380,그랜져TG,0,0,0,0
381,쉐보레/한국GM 크루즈 J300,크루즈,홀덴,0,J300
382,체어맨,체어맨,쌍용,0,0
383,알티마,알티마,닛산,0,0
384,기아 쏘울 AM,쏘울,기아,0,AM
385,C클래스,0,0,0,0
386,F-페이스,0,0,0,0
387,현대 뉴라이즈 쏘나타 LF,쏘나타,현대,뉴라이즈,LF
388,기아 봉고 버스,봉고 버스,기아,0,0
389,기아 더뉴 K7 VG,K7,기아,더뉴,VG
390,르노삼성 SM7,SM7,르노삼성,0,0
391,Q3,Q3,아우디,0,0
392,마티즈크리에이티브,마티즈,쉐보레/한국GM,크리에이티브,0
393,CR-V,CR-V,혼다,0,0
394,쉐보레/한국GM 캡티바 유로5,캡티바,홀덴,0,0
395,현대 제네시스 DH,제네시스,현대,0,DH
396,쌍용 뉴C 코란도 C200,코란도,쌍용,0,0
397,디스커버리4,디스커버리,랜드로버,0,0
398,벤츠 G-클래스 W463: G63 AMG,G-클래스,벤츠,0,W463: G63 AMG
399,C220,0,0,0,0
400,6시리즈,0,0,0,0
401,5시리즈,0,0,0,0
402,벤츠 CLS-클래스,CLS-클래스,벤츠,0,0
403,랜드로버 디스커버리,디스커버리,랜드로버,0,0
404,캡쳐,0,0,0,0
405,마세라티 콰트로포르테 2019년형,콰트로포르테,마세라티,0,0
406,기아 HEV 니로 DE,니로,기아,HEV,DE
407,랭글러,랭글러,지프,0,0
408,기아 오피러스,오피러스,기아,0,0
409,르노삼성 SM5 KPQ,SM5,르노삼성,0,0
410,e-트론,0,0,0,0
411,쏘나타LF,쏘나타,현대,0,LF
412,NF쏘나타,쏘나타,현대,0,NF
413,NEW에쿠스,에쿠스,현대,0,0
414,V60,V60,볼보,0,0
415,Q50,Q5,아우디,0,0
416,벤츠 GT-클래스,GT-클래스,벤츠,0,0
417,QX50,QX,인피니티,0,0
418,맥시마,맥시마,닛산,0,0
419,토요타 캠리 2015년형,캠리,토요타,0,0
420,르노삼성 SM5,SM5,르노삼성,0,0
421,현대 제네시스 BH,제네시스,현대,0,BH
422,스포티지QL,스포티지,기아,0,QL
423,현대 쏘나타 dn8,쏘나타,현대,0,0
424,현대 싼타페TM,싼타페,현대,0,TM
425,쉐보레 트레일블레이저,트레일블레이저,쉐보레,0,0
426,기아 K9,K9,기아,0,0
427,NewSM5,SM5,르노삼성,0,0
428,기아 R 스포티지 SL,스포티지,기아,R,SL
429,현대 제네시스,제네시스,현대,0,0
430,NewSM3,SM3,르노삼성,0,0
