,name,model,maker,prefix,postfix,False_word,model_mod,diff
431,현대 그랜저IG하이브리드,그랜저,현대,0,IG,True,그랜저,
432,현대 그랜저IG,그랜저,현대,0,IG,True,그랜저,
433,벤츠 GLC-클래스,GLC-클래스,벤츠,0,0,True,GLC-클래스,
435,기아 더뉴카니발,카니발,기아,더뉴,0,True,카니발,
437,현대 더뉴그랜저(IG),그랜저,현대,뉴,IG,True,그랜저,
438,현대 i30,i30,현대,0,0,True,i30,
441,현대 그랜져,그랜저,현대,0,0,True,그랜저,
442,현대 포터2,1열 포터,현대,0,0,True,1열 포터,
443,SM7,SM7,르노삼성,0,0,True,SM7,
444,쌍용 렉스턴스포츠,렉스턴,쌍용,0,0,True,렉스턴 스포츠,True
445,제네시스 G90,G90,제네시스,0,0,True,제네시스,True
446,현대 올뉴투싼TL,투싼,현대,0,0,True,TL,True
451,기아 쏘렌토 mq4,쏘렌토,기아,0,0,True,쏘렌토,
453,제네시스 G70 IK,G70,제네시스,0,0,True,제네시스 쿠페,True
455,제네시스 G80 DH,G80,제네시스,0,DH,True,제네시스 쿠페,True
456,기아 모하비,모하비,기아,0,0,True,모하비,
458,볼보 S60,S60,볼보,0,0,True,S60,
463,현대 벨로스터,벨로스터,현대,0,0,True,벨로스터,
464,아우디 Q7,Q7,아우디,0,0,True,Q7,
467,현대 엑센트,엑센트,현대,0,0,True,엑센트,
471,쌍용 G4렉스턴,렉스턴,쌍용,G4,0,True,렉스턴,
