,name,model,maker,prefix,postfix,kind
278,벤츠 A-클래스,A-클래스,벤츠,R,SL,Sedan
279,현대 더 뉴 HEV 아이오닉 AE,아이오닉,현대,0,0,Sedan
280,엑센트,엑센트,현대,0,0,Sedan
281,기아 뉴 스포티지 KM,스포티지,기아,0,IG,Mid-Large suv
282,폭스바겐 파사트,파사트,폭스바겐,0,IG,Sedan
283,볼보 V60,V60,볼보,0,0,Mid-Large suv
284,뉴쏘렌토R,쏘렌토,기아,더뉴,0,Mid-Large suv
285,프리우스,프리우스,토요타,뉴,IG,Sedan
286,기아 K7 VG,K7,기아,0,0,Sedan
287,쉐보레/한국GM 말리부,말리부,쉐보레/한국GM,0,0,Sedan
288,렉서스 ES,ES,렉서스,0,0,Sedan
289,기아 K3 YD,K3,기아,0,0,Sedan
290,기아 더SUV 스포티지 QL,스포티지,기아,0,0,Mid-Large suv
291,현대 벨로스터 JS,벨로스터,현대,0,0,Sedan
292,GT,GT,,0,0,
293,닛산 알티마,알티마,닛산,0,0,Sedan
294,쉐보레/한국GM 볼트 EV,볼트,쉐보레/한국GM,0,0,Sedan
295,혼다 어코드,어코드,혼다,0,DH,Sedan
296,기아 더뉴 하이리무진 카니발 YP,카니발,기아,0,0,van
297,르노삼성 노바 SM7 L47,SM7,르노삼성,0,0,Sedan
298,토요타 캠리 2019년형,캠리,토요타,0,0,Sedan
299,현대 더프라임 싼타페 DM,싼타페,현대,0,0,Mid-Large suv
300,포드 익스플로러,익스플로러,포드,0,0,Mid-Large suv
301,현대 더뉴 아반떼 MD,아반떼,현대,G4,0,Sedan
302,렉서스 ES시리즈,ES,렉서스,0,1세대,Sedan
303,기아 더 K9 RJ,K9,기아,0,0,Sedan
304,도요타시에나,시에나,토요타,0,0,van
305,E200,E-클래스,벤츠,0,0,Sedan
306,혼다 어코드 2019년형,어코드,혼다,올뉴,0,Sedan
307,아우디 A8,A8,아우디,0,세단 W213,Sedan
308,코란도투리스모,코란도 투리스모,쌍용,0,0,van
309,현대 2 1열 포터 HR,1열 포터,현대,올뉴,0,One row truck
310,캡티바,캡티바,,0,M400,
311,렉서스 RX 2019년형,RX,렉서스,0,RB,Mid-Large suv
312,그랜져5G,그랜저,현대,0,0,Sedan
313,기아 R 카니발 VQ,카니발,기아,0,0,van
314,임팔라,임팔라,쉐보레,0,0,Sedan
315,기아 더뉴 쏘렌토 UM,쏘렌토,기아,0,0,Mid-Large suv
316,BMW5시리즈,5 시리즈,BMW,0,TQ,Sedan
317,파일럿,파일럿,혼다,2세대,2세대,Mid-Large suv
