,name,maker,model,kind
370,렉스턴스포츠,쌍용,렉스턴 스포츠,['Mid-Large suv']
371,쉐보레/한국GM 트레일블레이저,쉐보레/한국GM,트레일블레이저,['Small suv']
372,트레일블레이저,쉐보레,트레일블레이저,['Small suv']
373,제네시스 GV80,제네시스,GV80,['Mid-Large suv']
374,쉐보레/한국GM 더뉴 스파크 M400,쉐보레/한국GM,스파크,['Sedan']
375,쌍용 더 뷰리풀 코란도 WD,쌍용,코란도,"['Mid-Large suv', 'Small suv']"
376,현대 4세대 투싼 NX4,현대,투싼,['Mid-Large suv']
377,제네시스 더올뉴 G80 RG3,제네시스,G80,['Sedan']
378,기아 K5 DL3 HEV,기아,K5,['Sedan']
379,쉐보레/한국GM 더 뉴 말리부 V400,쉐보레/한국GM,말리부,['Sedan']
380,쌍용 베리 뉴 티볼리 X110,쌍용,티볼리,['Small suv']
381,CLS클래스,벤츠,CLS-클래스,['Sedan']
382,쌍용 에어 티볼리 X100,쌍용,티볼리,['Small suv']
383,ES300h,렉서스,ES,['Sedan']
384,S500,벤츠,S-클래스,"['Coupe', 'Sedan']"
385,i30,현대,i30,['Sedan']
386,제네시스 G80,제네시스,G80,['Sedan']
387,현대 팰리세이드 LX2,현대,팰리세이드,['Mid-Large suv']
388,기아 K5 DL3,기아,K5,['Sedan']
389,SM5,르노삼성,SM5,['Sedan']
390,르노삼성 SM6,르노삼성,SM6,['Sedan']
391,QM5,르노삼성,QM5,['Small suv']
392,르노삼성 더뉴 QM6 HZG,르노삼성,QM6,['Mid-Large suv']
393,현대 4세대(출시예정) 투싼 NX4,현대,투싼,['Mid-Large suv']
394,클리오,르노,클리오,['Sedan']
395,쌍용 칸 렉스턴 스포츠 Q200,쌍용,렉스턴 스포츠,['Mid-Large suv']
396,QM3,르노삼성,QM3,['Small suv']
397,SM6탈리스만,르노삼성,SM6,['Sedan']
398,베라크루즈,현대,베라크루즈,['Mid-Large suv']
399,르노삼성 QM3,르노삼성,QM3,['Small suv']
400,볼보 XC40,볼보,XC40,['Mid-Large suv']
401,쌍용 렉스턴 스포츠,쌍용,렉스턴 스포츠,['Mid-Large suv']
402,기아 더 마스터 모하비 HM,기아,모하비,['Mid-Large suv']
403,BMW 5 시리즈 G30/31,BMW,5 시리즈,['Sedan']
404,제네시스 G90 HI,제네시스,G90,['Sedan']
405,맥스크루즈,현대,맥스크루즈,['Mid-Large suv']
406,르노삼성 QM6,르노삼성,QM6,['Mid-Large suv']
407,현대 더뉴 N 투싼 TL,현대,투싼,['Mid-Large suv']
408,쉐보레/한국GM 더뉴 트랙스 U200,쉐보레/한국GM,트랙스,['Small suv']
409,벤츠 GLE-클래스,벤츠,GLE-클래스,['Mid-Large suv']
410,쌍용 렉스턴 스포츠 Q200,쌍용,렉스턴 스포츠,['Mid-Large suv']
411,i40,현대,i40,['Sedan']
412,제네시스 G70,제네시스,G70,['Sedan']
413,르노삼성 뉴 QM3,르노삼성,QM3,['Small suv']
414,현대 베뉴 QX1,현대,베뉴,['Small suv']
415,기아 더뉴 K5 TF,기아,K5,['Sedan']
416,현대 더뉴 투싼 TL,아큐라,TL,['Sedan']
417,르노삼성 뉴신형 SM5 L43,르노삼성,SM5,['Sedan']
418,SM3,르노삼성,SM3,['Sedan']
