,name,model,maker,prefix,postfix,kind
190,포르쉐 카레라GT 2017년형,카레라GT,포르쉐,0,0,Coupe
191,쉐보레/한국GM 토스카,토스카,쉐보레/한국GM,0,0,Sedan
192,렉서스 CT 2014년형,CT,렉서스,0,0,Sedan
193,인피니티 QX 2021년형,QX,인피니티,0,0,Mid-Large suv
194,포르쉐 파나메라 2020년형,파나메라,포르쉐,0,0,Sedan
195,폭스바겐 파사트 2015년형,파사트,폭스바겐,0,0,Sedan
196,렉서스 NX 2017년형,NX,렉서스,0,0,Mid-Large suv
197,BMW 7 시리즈 E38,7 시리즈,BMW,0,E38,Sedan
198,쌍용 뉴 체어맨 W100,체어맨,쌍용,W,W100,Sedan
199,태풍전기차,0,0,0,0,
200,재규어 XJ6 2007년형,0,0,0,0,
201,벤츠 GL-클래스,GL-클래스,벤츠,0,0,Mid-Large suv
202,쉐보레 트래버스 2세대,트래버스,쉐보레,2세대,2세대,Mid-Large suv
203,아우디 RS7,RS7,아우디,0,0,Sedan
204,링컨 MKZ 2019년형,MKZ,링컨,0,0,Sedan
205,지프 루비콘,루비콘,지프,0,0,Mid-Large suv
206,렉서스 RX 2007년형,0,0,0,0,
207,인피니티 Q 시리즈 2016년형,Q 시리즈,인피니티,0,0,Sedan
208,폭스바겐 시로코 2012년형,시로코,폭스바겐,0,0,Sedan
209,포드 머스탱 2021년형,머스탱,포드,0,0,Coupe
210,폭스바겐 파사트 2013년형,파사트,폭스바겐,0,0,Sedan
211,BMW X6 F16,X6,BMW,0,F16,Mid-Large suv
212,재규어 I페이스 2020년형,I페이스,재규어,0,0,Mid-Large suv
213,링컨 네비게이터,네비게이터,링컨,0,0,van
214,혼다 인사이트 2019년형,인사이트,혼다,0,0,Sedan
215,쉐보레 임팔라 2018년형,임팔라,쉐보레,0,0,Sedan
216,기아 뉴 카니발 VQ,카니발,기아,뉴,VQ,van
217,랜드로버 디스커버리 스포츠 2020년형,디스커버리 스포츠,랜드로버,0,0,Mid-Large suv
218,랜드로버 레인지로버 보그 2020년형,레인지로버 보그,랜드로버,0,0,Mid-Large suv
219,아우디 R8,R8,아우디,0,0,Coupe
220,BMW M3 F80,M3,BMW,0,F80,Sedan
221,혼다 CR-V 2018년형,CR-V,혼다,0,0,Small suv
222,렉서스 LC,LC,렉서스,0,0,Coupe
223,뷰익 센츄리 2021년형,센츄리,토요타,0,0,Sedan
224,25.5T 덤프트럭,0,0,0,0,
