,store_addr,latlng,predicted_name
188,전북 정읍시 충정로,"('126.86407112894508', '35.565027591461366')",초이스주유소
189,강원도 화천군 옹기점길,"('127.699102666858', '38.113996457067')",타이어테크플러스 화천본점
190,경북 구미시 산업로,"('128.334995465543', '36.1320956207278')",스피드메이트 원평점
191,대전시 유성구 관들1길,"('127.388831088986', '36.4255609005828')",루마버텍스 대전테크노점
192,부산광역시 북구 만덕대로,"('129.04023663725008', '35.21339934721949')",삼보주유소
193,경기도 화성시 남양만로,"('126.79601782159732', '37.02735038193579')",대경TLS대경주유소
194,인천광역시 남동구 백범로,"('126.70446992213516', '37.46730114821553')",기아오토큐 간석점
195,서울특별시 관악구 조원로,"('126.9117008425531', '37.48456407334285')",기아오토큐 신림서부점
196,경기 평택시 안중읍,"('126.965229616788', '36.964703410083')",Unknown
197,전남 여수시 쌍봉로,"('127.67039517771', '34.7651271266686')",우리주유소
198,부산시 북구 금곡대로,"('129.006308841024', '35.2184426372832')",기아오토큐 수정자동차정비
199,부산시 수영구 과정로,"('129.106774078051', '35.1790204939193')",스피드메이트 연산토곡점
200,원주시 명륜로 10,"('127.94819695572345', '37.33742792411699')",유진모터스
201,부산광역시 사하구 을숙도대로,"('128.96525231688102', '35.08412757412879')",KCar 서부산직영점
202,경북 예천군 호명면,"('128.459464349693', '36.5978664605975')",Unknown
203,전북 부안군 오리정로,"('126.72911732463', '35.7234439134078')",기아오토큐 부안점
204,경기도 화성시 삼천병마로,"('126.950360771642', '37.221862960715')",현대자동차블루핸즈 봉담남부점
205,인천광역시 미추홀구 인주대로330번길,"('126.672799162875', '37.4505238108744')",솔라가드노블레스 주안점
206,인천광역시 남구 주안로193번길,"('126.69161126224522', '37.464363440281424')",조이앤카 인천점
207,속초시 조양동 1328-5,"('128.59576421051625', '38.18697037985245')",설악차유리
208,서울 서초구 반포대로79,"('127.009262717836', '37.487175391158')",MINI 코오롱모터스 서초전시장
209,대구시 수성구 국채보상로,"('128.63857144034105', '35.86662101024161')",현대자동차블루핸즈 만촌동부점
210,경남 합천군 대야로,"('128.1640671573945', '35.57149780376977')",현대자동차블루핸즈 합천점
211,서울특별시 강동구 양재대로124길,"('127.146093695732', '37.5423736823456')",길동썬팅
212,울산시 북구 진장유통로,"('129.359023239066', '35.577140825793')",Unknown
213,서울시 강동구 양재대로124길,"('127.146093695732', '37.5423736823456')",길동썬팅
214,경북 구미시 인동남길,"('128.4264202199712', '36.09805570973997')",기아오토큐 인동점
215,대전 서구 변동,"('127.382218236643', '36.3248313157898')",현대자동차블루핸즈 변동점
216,경북 구미시 야은로,"('128.338700021184', '36.1325444874234')",SK행복충전 SK지산LPG충전소
217,부산 사상구 모라동985-1,"('128.98911259213', '35.1894781513786')",Unknown
218,경기 시흥시 정왕동,"('126.693593551653', '37.3429619031973')",Unknown
219,경기도 하남시 감북로,"('127.16341741828', '37.5158912910464')",Unknown
220,울산시 북구 진장로,"('129.357269474725', '35.5668275001306')",현대모비스 카페호야점
221,인천광역시 계양구 서운산업로,"('126.757651346954', '37.5300960372311')",KTS트럭버스전문점 서운점
222,경기도 고양시 덕양구,"('126.950880356767', '37.6624378243397')",Unknown
223,경기 용인시 기흥구,"('127.1197995844', '37.2596098203239')",Unknown
224,서울시 서초구 효령로,"('127.02328123128042', '37.48736717716529')",현대자동차블루핸즈 서초서부점
225,경기도 광주시 이배재로,"('127.204687611198', '37.4320151615344')",성동주유소
226,인천시 부평구 장제로,"('126.730441599685', '37.5020267449048')",현대자동차블루핸즈 부평점
227,경기도 수원시 장안구,"('127.011795743342', '37.2869569586225')",Unknown
228,인천광역시 계양구 봉오대로676번길,"('126.724061668774', '37.5294745245788')",Unknown
229, ,"(0, 0)",Unknown
230,광주광역시 광산구 사암로,"('126.82269828305', '35.2165545326711')",타이어뱅크 북광주점
231,충남 부여군 성왕로,"('126.928066890917', '36.2842509226687')",현대자동차블루핸즈 부여점
232,서울 도봉구 방학동,"('127.024566580913', '37.6623121480637')",Unknown
233,인천광역시 부평구 장제로381번길,"('126.730764349092', '37.5204836019624')",제이앤비광택
234,경기도 고양시 일산동구,"('126.819453404114', '37.689905033742')",Unknown
235,경기도 평택시 지산로,"('127.05837661533843', '37.079287961700715')",기아 지산대리점
236,서울시 강동구 상암로,"('127.144469130493', '37.5466437112884')",현대자동차블루핸즈 명일점
237,제천시 화산동 919(내토로,"('128.21368353549744', '37.12719086816011')",JJ모터스
238,전북 군산시 경포천로,"('126.727276122617', '35.9723515306432')",루마썬팅 군산경장점
239,경기도 포천시 호국로,"('127.170780773161', '37.8608502722298')",현대자동차블루핸즈 포천점
240,제주도 제주시 연삼로,"('126.523598042403', '33.4926965270747')",기아오토큐 도남점
241,충남 아산시 충무로92-1(권곡동),"('127.007107582726', '36.789202627838')",기아자동차유리
242,전북 익산시 모현동1가,"('126.939820745428', '35.9471773270373')",기아 마한대리점
243,부산시 사하구 괴정로,"('128.97074631565664', '35.10208736108465')",르노삼성자동차 지정정비코너 사하점
244,강원도 원주시 치악로,"('127.96569479084', '37.3196745728328')",르노삼성자동차서비스 원흥산업
245,경북 영주시 시청로2번길,"('128.626070884282', '36.8069127926299')",루마버텍스 영주점
246,경기도 양주시 평화로,"('127.05320984055165', '37.83347132348532')",기아오토큐 양주자동차정비공업사
247,경기도 시흥시 옥구공원로,"('126.732761076488', '37.3446895237131')",루마버텍스 시화정왕점
248,서울 도봉구 창동,"('127.049684343333', '37.6526673397818')",Unknown
249,경북 구미시 오태동,"('128.3507701346434', '36.07673918151982')",KCar 구미직영점
250,대구시 서구 팔달로,"('128.5635944985039', '35.88921013335277')",현대자동차 만평대리점
251,경기 화성시 능동,"('127.062932022752', '37.213282260495')",기아오토큐 동탄점
252,대구광역시 달서구 평리로,"('128.532271892558', '35.8585503352104')",3M썬팅 용산점
253,대구시 동구 화랑로,"('128.676883451622', '35.8748250892734')",미니에너지직영주유소
254,인천시 미추홀구 구월로,"('126.693387743538', '37.4578267399558')",루마버텍스 인천석바위점
255,홍천군 홍천읍 산림공원1길,"('127.895401424103', '37.6915414290464')",3M썬팅 주공점
256,경기 용인시 처인구,"('127.20074617668577', '37.29412626352181')",Unknown
257,서울시 성동구 광나루로6길,"('127.064713589659', '37.5462097956182')",루마버텍스 성동점
258,대구시 달서구 월배로,"('128.533334589865', '35.8178405803881')",Unknown
259,광주시 광산구 사암로,"('126.82269828305', '35.2165545326711')",타이어뱅크 북광주점
260,울산시 남구 삼호로,"('129.278070078034', '35.5479471227597')",르노삼성자동차 서비스코너 무거점
261,경기도 시흥시 정왕동,"('126.693593551653', '37.3429619031973')",Unknown
262,춘천시 동면 만천로,"('127.758980015844', '37.8822692878619')",새만천주유소
263,대구시 서구 옥산로,"('128.580652745115', '35.8853470861818')",루마썬팅 대구서구북구청점
264,대구시 달서구 구마로,"('128.5356229164404', '35.83772242445554')",현대자동차블루핸즈 본리점
265,청주시 서원구 궁뜰로,"('127.477574108014', '36.5997298558202')",궁민1급자동차공업사
266,경기도 김포시 김포대로,"('126.66517750528546', '37.65894556851357')",KCAR 김포지점
267,경남 창원시 진해구,"('128.685630440299', '35.1471878451042')",Unknown
268,부산시 부산진구 전포대로,"('129.06565489215143', '35.15700899161649')",르노삼성자동차 지정정비코너 서면점
269,서울시 중구 다산로29길,"('127.012993267518', '37.5610103873374')",루마버텍스 신당점
270,서울시 용산구 한강대로39길,"('126.968080767972', '37.5311341643345')",루마버텍스 용산역점
271,경기 고양시 일산동구,"('126.819453404114', '37.689905033742')",Unknown
272,부산광역시 동래구 여고로127번길,"('129.076313828656', '35.1991990897164')",현대모비스 충북상회
273,경기도 화성시 영통로,"('127.063616002624', '37.2335626882703')",타이어뱅크 신영통점
274,인천시 연수구 벚꽃로,"('126.67670990725456', '37.41810984056127')",현대자동차 연수중앙대리점
275,전남 무안군 동문밖길,"('126.482529557683', '34.9929545141385')",오토카인테리어
276,부산 사상구 사상로,"('128.98252130101', '35.1632503538067')",Unknown
277,인천광역시 서구 염곡로,"('126.66873691392', '37.5095427533382')",기아오토큐 석남점
278,전남 순천시 해룡면,"('127.523372004947', '34.8495337447435')",Unknown
279,경기 안성시 금산동73-3,"('127.267950290413', '37.0164129697278')",카뷰티
280,인천 연수구 옥련동,"('126.64527010212248', '37.43198646740943')",현대자동차블루핸즈 송도현대모터스
281,인천시 미추홀구 석정로,"('126.682799965749', '37.4662790858163')",현대자동차블루핸즈 주안서부점
282,전남 순천시 충효로,"('127.51473984652903', '34.94779910791113')",기아 연향대리점
283,경기도 하남시 덕풍동로,"('127.207725785373', '37.5500019967612')",소낙스 미사하남점
284,서울특별시 마포구 동교로19길,"('126.916478546781', '37.5590750513158')",Unknown
285,강릉시 포남동 1168,"('128.90981986615', '37.7684918162546')",종일썬팅
286,부산광역시 북구 낙동대로1738번길,"('128.99984316501977', '35.208959446473166')",오토박스 북구점
287,경남 창원시 성산구봉양로397(신촌동),"('128.627716896498', '35.2090150017421')",현대자동차 창원서비스센터
288,서울 영등포구 문래동1가,"('126.901521130002', '37.5141108218537')",레인보우M&C카나
289,대구시 달서구 월곡로99길,"('128.522384213545', '35.8335374029222')",루마썬팅 대구달서월성점
290,서울 서대문구 충정로3가,"('126.960502281101', '37.564435490138')",현대자동차블루핸즈 충정로점
291,마포구 용강동 494-53,"('126.938973542628', '37.54294293373')",3M썬팅 용강점
292,부산 사상구 감전동,"('128.9885049426786', '35.14993470364558')",기아오토큐 부산서비스센터
293,인천 남동구 간석동,"('126.70446992213516', '37.46730114821553')",기아오토큐 간석점
294,경기 평택시 용이동,"('127.142729409943', '36.996315665934')",GS칼텍스 현대주유소
295,충남 당진시 덕평로,"('126.765621152356', '36.8418417584563')",세류주유소
296,경기도 파주시 중앙로,"('126.795768495746', '37.7503720010408')",신흥주유소
297,부산시 기장군 용수로,"('129.17417685724', '35.3283351421707')",기아오토큐 정관점
298,경기도 남양주시 오남읍,"('127.2733306545', '37.6802193912362')",Unknown
299,경기 군포시 금정동,"('126.943530853222', '37.3632723613014')",현대자동차블루핸즈 금정점
300,인천광역시 서구 원당대로,"('126.671890752456', '37.5940972629338')",르노삼성자동차 서비스코너 마전점
301,광주광역시 광산구 소촌로,"('126.79384778436187', '35.1489757772341')",기아오토큐 소촌점
302,경남 사천시 삼상로,"('128.077558508208', '34.9333960624219')",합동주유소
303,울산시 북구 번영로,"('129.35619887308428', '35.57003455399552')",투에이치모터스
304,충북 청주시 서원구,"('127.479155920795', '36.609733294749')",Unknown
305,부산시 금정구 중앙대로1826번길,"('129.09305342901', '35.2474033250259')",루마버텍스 부산금정구서점
306,서울특별시 강동구 천호대로,"('127.125544426166', '37.5386464570613')",Unknown
307,서울 서초구 서초동1506-36,"('127.00646887795952', '37.48864692318143')",서초썬팅
308,부산 북구 구포동,"('128.996173598948', '35.2061777413246')",Unknown
309,경기도 화성시 주석로,"('126.86239962771373', '37.202409158847416')",현대자동차블루핸즈 남양공업사
310,경기도 오산시 오산로,"('127.066305058355', '37.1385324651983')",르노삼성자동차서비스 경오자동차공업사
